description,domain,weight
Greynoise Log4j Callback Servers,ldap://e029c77bacaa.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://93492d02dea7.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://910eef74df8d.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://38010d058864.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://1d01d1cecd7c.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://4f82fd6de455.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://a372a16e46fb.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://5a2b71f87340.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://7ddeb490146f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://9040b8e6bea8.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://07fa356d28c6.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://aa93bc03591f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://539e7bcf42d5.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://74ab269aefd0.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://fbcec65f688f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://ee79e5151db6.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://424bbd495916.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://b7ff69c2e4a3.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://eb90e696775b.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://42fe37ef1663.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://626b5d44765f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://e2d8b3228caa.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://4fd955429073.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://f02536645a47.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://813ac90966bc.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://f73fb894272e.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://63.231.117.47.5f3gyn.dnslog.cn/kffq384,5
Greynoise Log4j Callback Servers,rmi://63.231.117.47.5f3gyn.dnslog.cn,5
Greynoise Log4j Callback Servers,dns://63.231.117.47.5f3gyn.dnslog.cn,5
Greynoise Log4j Callback Servers,ldap://65.151.128.111.9gpf69.dnslog.cn/zib46hc,5
Greynoise Log4j Callback Servers,rmi://65.151.128.111.9gpf69.dnslog.cn,5
Greynoise Log4j Callback Servers,dns://65.151.128.111.9gpf69.dnslog.cn,5
Greynoise Log4j Callback Servers,ldap://47.252.24.16.qpgu9j.dnslog.cn/ngatvnl,5
Greynoise Log4j Callback Servers,rmi://47.252.24.16.qpgu9j.dnslog.cn,5
Greynoise Log4j Callback Servers,dns://47.252.24.16.qpgu9j.dnslog.cn,5
Greynoise Log4j Callback Servers,ldap://63.231.117.2.ro2omc.dnslog.cn/cmrcm0f,5
Greynoise Log4j Callback Servers,rmi://63.231.117.2.ro2omc.dnslog.cn,5
Greynoise Log4j Callback Servers,dns://63.231.117.2.ro2omc.dnslog.cn,5
Greynoise Log4j Callback Servers,ldaps://05ff6845.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://89598b9a.probe001.log4j.leakix.net:1266/b,5
Greynoise Log4j Callback Servers,ldaps://0dc1eed0.probe001.log4j.leakix.net:1266/b,5
Greynoise Log4j Callback Servers,ldaps://61f3457f.probe001.log4j.leakix.net:445/b,5
Greynoise Log4j Callback Servers,ldaps://e62bd60a.probe001.log4j.leakix.net:8443/b,5
Greynoise Log4j Callback Servers,ldaps://691c3f1c.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://5842cd21.probe001.log4j.leakix.net:8443/b,5
Greynoise Log4j Callback Servers,ldaps://ef00e4a.probe001.log4j.leakix.net:8443/b,5
Greynoise Log4j Callback Servers,ldaps://f6899d95.probe001.log4j.leakix.net:8443/b,5
Greynoise Log4j Callback Servers,ldaps://8aa9ecc4.probe001.log4j.leakix.net:8443/b,5
Greynoise Log4j Callback Servers,ldaps://ac397956.probe001.log4j.leakix.net:8443/b,5
Greynoise Log4j Callback Servers,ldaps://7366dd97.probe001.log4j.leakix.net:8443/b,5
Greynoise Log4j Callback Servers,ldaps://e737b62d.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://1ad97b75.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://845fa0ec.probe001.log4j.leakix.net:1266/b,5
Greynoise Log4j Callback Servers,ldaps://4ff88acb.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldap://:443/lx-ffffa93f37a4b822085793b6610000000075307f,5
Greynoise Log4j Callback Servers,ldaps://0241465b.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://e9162d6e.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://ab6deb93.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://288472b3.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffffb869086bbb010828d0b66100000000a30461,5
Greynoise Log4j Callback Servers,ldaps://81aea5e2.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldaps://5f396380.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldaps://c893f258.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:443/lx-ffffb9b5d38bbb0108e2f3b66100000000db9447,5
Greynoise Log4j Callback Servers,ldaps://56d402f8.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffff4197b162bb01082999b6610000000092ed0c,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffff3fe7753bfb200823a2b66100000000aee41b,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffff3fe7753bfb200824a2b66100000000f97eb6,5
Greynoise Log4j Callback Servers,ldaps://4c2c2390.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldaps://f53d3241.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://1886059b.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://39fd3743.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://4bb39c6f.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:443/lx-ffff4197907fb822080bc1b66100000000f33cb7,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:443/lx-ffff41979081b82208dac1b66100000000ed7728,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffffb86908e5bb0108f9e3b66100000000a97e3f,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffffb86908e5bb0108fbe3b6610000000008c6e6,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffff3fe77539bb01082be7b66100000000b8bcdb,5
Greynoise Log4j Callback Servers,ldaps://d21ad2c0.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldaps://b3377d23.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldaps://fa251498.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldaps://e46abe55.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldaps://adff2c73.probe001.log4j.leakix.net:443/b,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffffb86908d6bb01082ab2b6610000000083be78,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffffb86908f5bb010875b4b66100000000d9b500,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffffb86908f5bb010877b4b66100000000e33f1c,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:443/lx-ffffa83d233ab8220841c4b661000000009f0ed1,5
Greynoise Log4j Callback Servers,ldap://:443/lx-ffff224e7310fb2008d791b66100000000d6fa8e,5
Greynoise Log4j Callback Servers,ldaps://62343f40.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:443/lx-ffff2d53288ebb01082adbb66100000000a32775,5
Greynoise Log4j Callback Servers,ldaps://0561eaed.probe001.log4j.leakix.net:9200/b,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffff3fe775e450000803eab6610000000088337f,5
Greynoise Log4j Callback Servers,ldap://167.71.13.196:2222/lx-ffff3fe7753ebb01086c0cb7610000000087bfb1,5
